"query_id","query","family","journey","volume_band","serp_class","ymyl_risk","tier","target_url","evidence"
"Q015","does radon mitigation system need maintenance","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q016","radon system annual maintenance","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q017","radon mitigation inspection checklist","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q018","radon system service schedule","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q019","how often check radon system","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q020","radon mitigation upkeep","system-maintenance","system-owner","100-1K","epa+contractors","low","A","/guides/radon-mitigation-system-maintenance","planner+serp-sample"
"Q021","radon manometer reading","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q022","how to read radon manometer","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q023","radon manometer normal reading","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q024","radon manometer zero","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q025","radon manometer levels equal","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q026","radon u tube reading","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q027","what should radon manometer read","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q028","radon gauge reading","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q029","radon manometer changed","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q030","radon manometer fluid level","manometer","system-owner","100-1K","contractors+forums","low","A","/guides/radon-manometer-reading","planner+serp-sample"
"Q031","radon fan noise","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q032","radon fan making noise","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q033","loud radon fan","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q034","radon fan humming","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q035","radon fan rattling","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q036","radon pipe gurgling","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q037","radon fan vibration","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q038","radon fan suddenly loud","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q039","is radon fan noise normal","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q040","radon mitigation fan noise in house","fan-noise","system-owner","100-1K","contractors+forums+video","low","A","/guides/radon-fan-noise","planner+serp-sample"
"Q041","how long do radon fans last","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q042","radon fan lifespan","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q043","radon mitigation fan life","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q044","when to replace radon fan","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q045","how often replace radon fan","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q046","radon fan warranty length","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q047","old radon fan","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q048","radon fan replacement signs","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q049","radon system lifespan","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q050","does radon mitigation system expire","fan-life","system-owner","100-1K","epa+contractors","low","A","/guides/how-long-do-radon-fans-last","planner+serp-sample"
"Q051","where to place radon test","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q052","where to put radon test kit","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q053","best place for radon detector","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q054","radon test basement or first floor","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q055","where to test radon in house","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q056","radon test placement height","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q057","can radon test sit on floor","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q058","radon detector placement bedroom","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q059","radon test lowest lived in level","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q060","where not to place radon test","placement","test-setup","10-100","government+manufacturers+forums","low","B","/guides/where-to-place-radon-test","serp-sample+workflow"
"Q061","radon closed house conditions","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q062","closed house conditions radon test","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q063","12 hours before radon test","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q064","radon test windows closed","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q065","radon test doors closed","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q066","radon test hvac settings","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q067","can air conditioner run during radon test","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q068","ceiling fan during radon test","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q069","dehumidifier during radon test","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q070","whole house fan during radon test","closed-house","test-conditions","10-100","government+inspectors","low","B","/guides/radon-closed-house-conditions","serp-sample+workflow"
"Q071","can you open windows during radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q072","window opened during radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q073","how long windows closed before radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q074","can windows be open before radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q075","radon test with windows open","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q076","does opening windows affect radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q077","door open during radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q078","normal entry exit radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q079","forgot to close windows radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q080","will open window invalidate radon test","windows","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-open-windows-during-radon-test","serp-sample+workflow"
"Q081","can you live in house during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q082","can i stay home during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q083","can you sleep in house during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q084","what can you do during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q085","can i cook during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q086","can i shower during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q087","can pets stay during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q088","can people enter during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q089","normal living during radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q090","do you leave house for radon test","occupancy","test-conditions","0-100","inspectors+forums","low","B","/guides/can-you-live-in-house-during-radon-test","serp-sample+workflow"
"Q091","radon test during rain","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q092","radon test during storm","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q093","does rain affect radon test","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q094","high winds during radon test","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q095","bad weather radon test","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q096","snow during radon test","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q097","severe weather radon testing","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q098","can you test radon when raining","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q099","weather affect radon readings","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q100","delay radon test for storm","weather","test-conditions","0-100","state-guides+forums","medium","B","/guides/radon-test-during-rain-or-storm","serp-sample+workflow"
"Q101","best time of year to test for radon","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q102","best season for radon test","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q103","radon test winter or summer","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q104","can you test radon in summer","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q105","should i test radon in winter","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q106","seasonal radon levels","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q107","radon levels higher in winter","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q108","when should i test for radon","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q109","year round radon testing","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q110","cold weather radon test","season","test-setup","10-100","government+publishers","medium","B","/guides/best-time-of-year-to-test-for-radon","serp-sample+workflow"
"Q111","charcoal vs digital radon test","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q112","radon test kit vs monitor","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q113","radon detector vs test kit","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q114","digital radon monitor vs charcoal","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q115","short term kit vs continuous monitor","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q116","which radon test should i use","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q117","mail in radon test vs monitor","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q118","passive vs active radon test","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q119","alpha track vs digital radon monitor","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q120","reusable radon detector vs test kit","device-choice","device-choice","1K-10K","publishers+manufacturers+shopping","high","B","/guides/charcoal-vs-digital-radon-test","serp-sample+workflow"
"Q121","expired radon test kit","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q122","can i use expired radon test kit","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q123","do radon test kits expire","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q124","radon kit expiration date","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q125","old radon test kit still good","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q126","expired charcoal radon test","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q127","radon test kit shelf life","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q128","unused radon kit expiration","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q129","radon test kit storage","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q130","replace expired radon kit","expired-kit","test-handling","0-100","labs+state-guides","low","B","/guides/expired-radon-test-kit","serp-sample+workflow"
"Q131","radon test moved","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q132","radon test tampered with","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q133","device unplugged during radon test","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q134","radon monitor moved during test","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q135","radon test disturbed","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q136","covered radon test device","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q137","power outage during radon test","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q138","radon test interference","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q139","someone opened radon test","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q140","is moved radon test valid","moved-device","test-handling","0-100","protocols+forums","medium","B","/guides/radon-test-moved-or-tampered","serp-sample+workflow"
"Q141","how to mail radon test kit","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q142","where to send radon test kit","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q143","radon test return shipping","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q144","how fast mail radon test","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q145","radon kit lab deadline","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q146","seal radon test kit","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q147","radon test kit postage","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q148","lost radon return envelope","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q149","track radon test kit shipment","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q150","radon lab turnaround after mailing","mail-kit","test-handling","0-100","labs+local-programs","low","B","/guides/how-to-mail-radon-test-kit","serp-sample+workflow"
"Q151","radon testing in apartments","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q152","how to test apartment for radon","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q153","radon detector in apartment","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q154","radon test high rise apartment","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q155","where to place radon test in apartment","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q156","can renters test for radon","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q157","landlord radon test","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q158","radon in basement apartment","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q159","radon test condo","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q160","lowest level within apartment unit","apartment","test-setup","10-100","government+renters","medium","B","/guides/radon-testing-in-apartments","serp-sample+workflow"
"Q161","is my radon test valid","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q162","invalid radon test","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q163","radon test validity","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q164","what invalidates radon test","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q165","radon test quality control","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q166","radon test too short","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q167","radon test exposed too long","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q168","radon test wrong location","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q169","radon test conditions not met","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q170","should i redo radon test","validity","test-handling","100-1K","labs+inspectors+forums","medium","B","/guides/is-my-radon-test-valid","serp-sample+workflow"
"Q171","when to retest for radon","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q172","how often test for radon","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q173","should i retest radon","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q174","radon retest frequency","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q175","second radon test","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q176","confirm high radon result","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q177","retest after low radon result","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q178","retest radon after moving","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q179","retest radon after home changes","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q180","how soon can i retest radon","retest","result","100-1K","epa+cdc+state-guides","high","B","/guides/when-to-retest-for-radon","serp-sample+workflow"
"Q181","radon test after renovation","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q182","retest radon after remodel","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q183","radon after basement finishing","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q184","test radon after new windows","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q185","radon after hvac replacement","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q186","radon test before renovation","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q187","radon after waterproofing","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q188","radon after sump pump work","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q189","radon after air sealing","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q190","radon test after foundation repair","after-renovation","retest","0-100","cdc+contractors","medium","B","/guides/radon-test-after-renovation","serp-sample+workflow"
"Q191","radon test after mitigation","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q192","when to test after radon mitigation","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q193","post mitigation radon test","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q194","how soon retest after radon system installed","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q195","radon test after fan replacement","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q196","verify radon mitigation system","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q197","post mitigation test location","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q198","independent radon test after mitigation","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q199","radon still high after mitigation","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
"Q200","retest after radon system repair","after-mitigation","system-owner","0-100","epa+standards+contractors","high","B","/guides/radon-test-after-mitigation","serp-sample+workflow"
